nome,endereco
3G CELL LTDA,"Rua José de Oscar de Abreu Sampaio, 397  - Rua José de Oscar de Abreu Sampaio, 397 - Jardim Anália Franco - SP"
A. ALBERTO ELIAS CHENU – ME,"Alameda França, 435 - Jardim Paulista - Unidade 41 - São Paulo - SP - SP"
ADONAY ALVES SIQUEIRA VIEIRA,"""R MONTE SINAI, 55 - CIDADE ANTONIO ESTEVAO DE CARVALHO"" - São Paulo - SP - SP"
estado,cidade,title,endereco
PR,Campo Mourão,Unidade de Negócio Campo-Mourao,"Rua Santa Cruz, 1265 - Centro, Campo Mourão - PR, 87303-190"
PR,Cascavel,Unidade de Negócio Cascavel,"Rua Recife , 2314, Coqueiral, CEP: 85807-060"
PR,Castro,Unidade de Negócio Castro,"Rua Doutor Romário Martins, 536 - Sala 01 - Centro CEP: 84165-010"
PR,Cianorte,Unidade de Negócio Cianorte,"R. Piratininga, 238 - Zona 01, Cianorte - PR, 87200-000"
PR,Colombo,Unidade de Negócio Colombo,"Rodovia da Uva, 1041 - Loja 02, CEP: 83402-000"
PR,Curitiba,SEDE ADEMICON - CURITIBA - PR,"Av. Sete de Setembro, 5870 - Batel"
PR,Curitiba,Unidade de Negócio Batel-1,"Rua Av. Sete de setembro, 5914 - Batel,  CEP: 80240-000"
PR,Curitiba,Unidade de Negócio Batel-2,"Av. Sete de setembro, 5863 - Batel, CEP: 80240-001"
PR,Curitiba,Unidade de Negócio Curitiba - Champagnat,"Edificio Helbor, Rua Padre Anchieta, 2050, Sala 1007, CEP: 80730-000"
PR,Curitiba,Unidade de Negócio Curitiba - Kennedy,"Avenida Presidente Kennedy, 651, Parolin, CEP: 80220-200"
PR,Curitiba,Unidade de Negócio Curitiba - Merces,"Rua Brigadeiro Franco, 747, Mercês,  CEP: 80430-210"
PR,Curitiba,Unidade de Negócio Cajuru,"Avenida Vicente de Carvalho, 113, Cajuru  CEP: 82940-370"
PR,Curitiba,Unidade de Negócio Juvevê,"Rua Alberto Bolliger, 700, Juvevê CEP:80030-280"
PR,Curitiba,Unidade de Negócio Hauer,"R. Anne Frank, 1915 - Hauer CEP: 81610-020"
PR,Curitiba,Unidade de Negócio Curitiba (Santa Felicidade),"Avenida Manoel Ribas, 4824, Lj 01, Santa Felicidade  CEP: 82400-000"
